Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Achieved Occupancy,L2 Throughput (L1 Reads)(bytes/sec),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),Global Store Throughput(bytes/sec),Device Memory Write Throughput(bytes/sec),Global Load Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Texture Cache Throughput(bytes/sec),Control-Flow Instructions,Global Store Transactions,Bit-Convert Instructions,System Memory Read Transactions,Shared Store Transactions,Misc Instructions,Global Load Transactions,Load/Store Instructions,Local Store Transactions,FP Instructions(Single),Shared Load Transactions,Integer Instructions,Local Load Transactions,FP Instructions(Double),Issue Slot Utilization(%),L2 Throughput (L1 Writes)(bytes/sec),Issued Control-Flow Instructions,L2 Transactions (Atomic requests),System Memory Write Throughput(bytes/sec),L2 Write Transactions (L1 write requests),System Memory Read Throughput(bytes/sec),L2 Transactions (Texture Reads),L2 Throughput (Writes)(bytes/sec),Atomic Throughput(bytes/sec),L2 Throughput (Reads)(bytes/sec),L2 Read Transactions (L1 read requests),Shared Memory Store Throughput(bytes/sec),Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,System Memory Write Transactions,Issued Load/Store Instructions,Floating Point Operations(Single Precision Add),Floating Point Operations(Single Precision FMA),Floating Point Operation(Single Precision Mul),Floating Point Operations(Double Precision Add),Floating Point Operations(Double Precison FMA),Floating Point Operations(Double Precision Mul),L1/Shared Memory Utilization,Floating Point Operations(Single Precision Special),Texture Cache Utilization,L2 Cache Utilization,System Memory Utilization,Device Memory Utilization,Load/Store Function Unit Utilization,Atomic Transactions,Arithmetic Function Unit Utilization,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,Inter-Thread Instructions,Instructions Executed,Issue Slots,L2 Throughput (Atomic requests)(bytes/sec),Global Memory Load Efficiency(%),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Local Memory Cache Replay Overhead,Global Memory Cache Replay Overhead,Issued IPC,Instructions per warp,Executed Control-Flow Instructions,FLOP Efficiency(Peak Single)(%),FLOP Efficiency(Peak Double)(%),Executed Load/Store Instructions,Floating Point Operations(Single Precision),Floating Point Operations(Double Precision),Atomic Replay Overhead,Branch Efficiency(%),Executed IPC,Instructions Issued
"conwayThread(char*, char*, int, int)",113188451,214843,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4957483,,3145728,,,26261192,,3932160,,131072,,12594066,,0,51.345,,325048,,,,,,,,,,,,,,,,,,,,134016,0,0,0,0,0,0,,131072,,,,,,,,,,0,1713011,1700516,,60,0,30.513,0.059,0,0.002,0.037,0,2.19,836.431,560204,0,0,130761,0,0,0,85.053,2.069,1813382
"conwayThread(char*, char*, int, int)",113488988,213595,64,1,1,1024,1,1,22,0,0,0.966,,,,,,,,,4956553,,3145728,,,26260336,,3932160,,131072,,12592346,,0,51.574,,324858,,,,,,,,,,,,,,,,,,,,133860,0,0,0,0,0,0,,131072,,,,,,,,,,0,1712625,1697075,,60,0,30.672,0.057,0,0.002,0.037,0,2.2,836.243,559848,0,0,130700,0,0,0,85.062,2.082,1810100
"conwayThread(char*, char*, int, int)",113787573,211707,64,1,1,1024,1,1,22,0,0,0.966,,,,,,,,,4956813,,3145728,,,26260468,,3932160,,131072,,12592746,,0,51.525,,324678,,,,,,,,,,,,,,,,,,,,133742,0,0,0,0,0,0,,131072,,,,,,,,,,0,1712232,1696964,,60,0,30.829,0.057,0,0.002,0.037,0,2.198,836.051,559476,0,0,130621,0,0,0,85.112,2.08,1809973
"conwayThread(char*, char*, int, int)",114083309,211483,64,1,1,1024,1,1,22,0,0,0.966,,,,,,,,,4955701,,3145728,,,26259330,,3932160,,131072,,12590468,,0,51.229,,324064,,,,,,,,,,,,,,,,,,,,133800,0,0,0,0,0,0,,131072,,,,,,,,,,0,1711251,1695866,,60,0,30.904,0.057,0,0.002,0.037,0,2.185,835.572,558372,0,0,130295,0,0,0,85.209,2.068,1808444
"conwayThread(char*, char*, int, int)",114384390,211707,64,1,1,1024,1,1,22,0,0,0.966,,,,,,,,,4956180,,3145728,,,26259860,,3932160,,131072,,12591702,,0,51.531,,323995,,,,,,,,,,,,,,,,,,,,133649,0,0,0,0,0,0,,131072,,,,,,,,,,0,1711008,1695984,,60,0,31.092,0.057,0,0.002,0.037,0,2.199,835.453,558214,0,0,130449,0,0,0,85.226,2.079,1808956
"conwayThread(char*, char*, int, int)",114682335,211355,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4955490,,3145728,,,26259153,,3932160,,131072,,12590351,,0,51.522,,323825,,,,,,,,,,,,,,,,,,,,133609,0,0,0,0,0,0,,131072,,,,,,,,,,0,1710742,1695370,,60,0,31.125,0.057,0,0.002,0.037,0,2.198,835.323,557890,0,0,130636,0,0,0,85.252,2.08,1808100
"conwayThread(char*, char*, int, int)",114989560,210107,64,1,1,1024,1,1,22,0,0,0.966,,,,,,,,,4955699,,3145728,,,26259401,,3932160,,131072,,12590929,,0,51.634,,323963,,,,,,,,,,,,,,,,,,,,133871,0,0,0,0,0,0,,131072,,,,,,,,,,0,1710866,1696523,,60,0,31.239,0.058,0,0.002,0.037,0,2.203,835.384,558134,0,0,130540,0,0,0,85.222,2.083,1809586
"conwayThread(char*, char*, int, int)",115287921,210523,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4955291,,3145728,,,26258943,,3932160,,131072,,12590029,,0,51.339,,323419,,,,,,,,,,,,,,,,,,,,133409,0,0,0,0,0,0,,131072,,,,,,,,,,0,1709856,1695034,,60,0,31.469,0.057,0,0.002,0.037,0,2.19,834.891,557114,0,0,130515,0,0,0,85.34,2.072,1807392
"conwayThread(char*, char*, int, int)",115584201,209979,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4954871,,3145728,,,26258649,,3932160,,131072,,12589567,,0,51.554,,323159,,,,,,,,,,,,,,,,,,,,133429,0,0,0,0,0,0,,131072,,,,,,,,,,0,1709295,1694703,,60,0,31.732,0.057,0,0.002,0.037,0,2.199,834.617,556614,0,0,130446,0,0,0,85.368,2.08,1807250
"conwayThread(char*, char*, int, int)",115879778,211643,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4954098,,3145728,,,26257744,,3932160,,131072,,12587868,,0,51.394,,323023,,,,,,,,,,,,,,,,,,,,133671,0,0,0,0,0,0,,131072,,,,,,,,,,0,1709040,1694538,,60,0,31.816,0.057,0,0.002,0.037,0,2.192,834.492,556346,0,0,130143,0,0,0,85.392,2.073,1806865
"conwayThread(char*, char*, int, int)",116176123,210395,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4953703,,3145728,,,26257513,,3932160,,131072,,12587595,,0,51.207,,322738,,,,,,,,,,,,,,,,,,,,133582,0,0,0,0,0,0,,131072,,,,,,,,,,0,1708412,1693754,,60,0,32.11,0.057,0,0.002,0.037,0,2.184,834.186,555788,0,0,130198,0,0,0,85.44,2.066,1805658
"conwayThread(char*, char*, int, int)",116471412,211035,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4953141,,3145728,,,26256980,,3932160,,131072,,12586756,,0,51.618,,322107,,,,,,,,,,,,,,,,,,,,133561,0,0,0,0,0,0,,131072,,,,,,,,,,0,1707422,1693039,,60,0,32.222,0.057,0,0.002,0.037,0,2.201,833.702,554610,0,0,130217,0,0,0,85.537,2.082,1805108
"conwayThread(char*, char*, int, int)",116766413,211003,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4952673,,3145728,,,26256596,,3932160,,131072,,12586174,,0,51.613,,322144,,,,,,,,,,,,,,,,,,,,133363,0,0,0,0,0,0,,131072,,,,,,,,,,0,1707307,1693238,,60,0,32.446,0.057,0,0.002,0.037,0,2.201,833.646,554632,0,0,130216,0,0,0,85.555,2.082,1805333
"conwayThread(char*, char*, int, int)",117071174,211067,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4952495,,3145728,,,26256291,,3932160,,131072,,12585527,,0,51.46,,321268,,,,,,,,,,,,,,,,,,,,133403,0,0,0,0,0,0,,131072,,,,,,,,,,0,1705921,1691906,,60,0,32.606,0.057,0,0.002,0.037,0,2.195,832.969,553004,0,0,129977,0,0,0,85.694,2.075,1803846
"conwayThread(char*, char*, int, int)",117371583,210778,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4952709,,3145728,,,26256376,,3932160,,131072,,12585764,,0,51.425,,321981,,,,,,,,,,,,,,,,,,,,133372,0,0,0,0,0,0,,131072,,,,,,,,,,0,1707142,1693092,,60,0,32.303,0.057,0,0.002,0.037,0,2.193,833.565,554354,0,0,130329,0,0,0,85.598,2.074,1805198
"conwayThread(char*, char*, int, int)",117670455,210491,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4952530,,3145728,,,26256207,,3932160,,131072,,12585331,,0,51.469,,321390,,,,,,,,,,,,,,,,,,,,133438,0,0,0,0,0,0,,131072,,,,,,,,,,0,1706200,1692250,,60,0,32.405,0.058,0,0.002,0.037,0,2.195,833.105,553264,0,0,130062,0,0,0,85.695,2.076,1804335
"conwayThread(char*, char*, int, int)",117965200,210427,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4952416,,3145728,,,26256182,,3932160,,131072,,12585440,,0,51.481,,321203,,,,,,,,,,,,,,,,,,,,133362,0,0,0,0,0,0,,131072,,,,,,,,,,0,1705880,1692156,,60,0,32.529,0.058,0,0.002,0.037,0,2.196,832.949,552894,0,0,130028,0,0,0,85.703,2.076,1804223
"conwayThread(char*, char*, int, int)",118260425,210235,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4952567,,3145728,,,26256243,,3932160,,131072,,12585645,,0,51.271,,321181,,,,,,,,,,,,,,,,,,,,133390,0,0,0,0,0,0,,131072,,,,,,,,,,0,1705831,1692202,,60,0,32.544,0.057,0,0.002,0.037,0,2.186,832.925,552838,0,0,130211,0,0,0,85.721,2.067,1803901
"conwayThread(char*, char*, int, int)",118556034,210779,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4951838,,3145728,,,26255628,,3932160,,131072,,12584384,,0,51.378,,321016,,,,,,,,,,,,,,,,,,,,133273,0,0,0,0,0,0,,131072,,,,,,,,,,0,1705438,1691744,,60,0,32.737,0.058,0,0.002,0.037,0,2.191,832.733,552540,0,0,129964,0,0,0,85.747,2.072,1803609
"conwayThread(char*, char*, int, int)",118852091,211291,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4951439,,3145728,,,26255155,,3932160,,131072,,12583457,,0,51.576,,320508,,,,,,,,,,,,,,,,,,,,133275,0,0,0,0,0,0,,131072,,,,,,,,,,0,1704557,1691020,,60,0,32.905,0.058,0,0.002,0.037,0,2.2,832.303,551588,0,0,130088,0,0,0,85.85,2.08,1803035
"conwayThread(char*, char*, int, int)",119148212,211099,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4951324,,3145728,,,26254952,,3932160,,131072,,12583212,,0,51.324,,320770,,,,,,,,,,,,,,,,,,,,133276,0,0,0,0,0,0,,131072,,,,,,,,,,0,1705081,1691027,,60,0,32.737,0.057,0,0.002,0.037,0,2.188,832.559,552080,0,0,130016,0,0,0,85.79,2.07,1802487
"conwayThread(char*, char*, int, int)",119453612,209979,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4951211,,3145728,,,26254936,,3932160,,131072,,12583228,,0,51.522,,320644,,,,,,,,,,,,,,,,,,,,133314,0,0,0,0,0,0,,131072,,,,,,,,,,0,1704737,1691109,,60,0,32.963,0.058,0,0.002,0.037,0,2.197,832.391,551824,0,0,129909,0,0,0,85.817,2.077,1802934
"conwayThread(char*, char*, int, int)",119768325,210267,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4950033,,3145728,,,26253830,,3932160,,131072,,12581240,,0,51.247,,320580,,,,,,,,,,,,,,,,,,,,133271,0,0,0,0,0,0,,131072,,,,,,,,,,0,1704535,1690965,,60,0,33.107,0.057,0,0.002,0.037,0,2.185,832.292,551696,0,0,130017,0,0,0,85.834,2.066,1802328
"conwayThread(char*, char*, int, int)",120066974,210939,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4950093,,3145728,,,26253772,,3932160,,131072,,12581242,,0,51.418,,320291,,,,,,,,,,,,,,,,,,,,133329,0,0,0,0,0,0,,131072,,,,,,,,,,0,1704148,1690320,,60,0,33.059,0.057,0,0.002,0.037,0,2.192,832.104,551174,0,0,129973,0,0,0,85.876,2.074,1801834
"conwayThread(char*, char*, int, int)",120364599,210395,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4949713,,3145728,,,26253664,,3932160,,131072,,12581182,,0,51.41,,320360,,,,,,,,,,,,,,,,,,,,133239,0,0,0,0,0,0,,131072,,,,,,,,,,0,1704076,1690467,,60,0,33.388,0.057,0,0.002,0.037,0,2.192,832.068,551224,0,0,129984,0,0,0,85.858,2.073,1801617
"conwayThread(char*, char*, int, int)",120658576,210906,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4950050,,3145728,,,26253841,,3932160,,131072,,12581537,,0,50.656,,320314,,,,,,,,,,,,,,,,,,,,133438,0,0,0,0,0,0,,131072,,,,,,,,,,0,1703970,1691125,,60,0,33.42,0.058,0,0.002,0.038,0,2.16,832.017,551148,0,0,130045,0,0,0,85.871,2.042,1802777
"conwayThread(char*, char*, int, int)",120952776,211899,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4950287,,3145728,,,26254224,,3932160,,131072,,12582274,,0,51.476,,320075,,,,,,,,,,,,,,,,,,,,133111,0,0,0,0,0,0,,131072,,,,,,,,,,0,1703608,1689867,,60,0,33.453,0.057,0,0.002,0.037,0,2.195,831.84,550698,0,0,129834,0,0,0,85.909,2.076,1801132
"conwayThread(char*, char*, int, int)",121247937,212219,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4950526,,3145728,,,26254401,,3932160,,131072,,12582573,,0,51.468,,320186,,,,,,,,,,,,,,,,,,,,133158,0,0,0,0,0,0,,131072,,,,,,,,,,0,1703824,1690520,,60,0,33.339,0.058,0,0.002,0.037,0,2.194,831.945,550916,0,0,129910,0,0,0,85.905,2.075,1801854
"conwayThread(char*, char*, int, int)",121543738,210299,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4950426,,3145728,,,26254183,,3932160,,131072,,12582147,,0,51.344,,320220,,,,,,,,,,,,,,,,,,,,133226,0,0,0,0,0,0,,131072,,,,,,,,,,0,1703955,1690511,,60,0,33.187,0.057,0,0.002,0.037,0,2.189,832.009,550996,0,0,129950,0,0,0,85.913,2.07,1801926
"conwayThread(char*, char*, int, int)",121837171,210939,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4950045,,3145728,,,26253793,,3932160,,131072,,12581333,,0,51.577,,320421,,,,,,,,,,,,,,,,,,,,133274,0,0,0,0,0,0,,131072,,,,,,,,,,0,1704284,1690808,,60,0,33.128,0.058,0,0.002,0.037,0,2.199,832.17,551378,0,0,130159,0,0,0,85.879,2.08,1802497
"conwayThread(char*, char*, int, int)",122137452,211611,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4949935,,3145728,,,26253667,,3932160,,131072,,12581137,,0,51.28,,320502,,,,,,,,,,,,,,,,,,,,133382,0,0,0,0,0,0,,131072,,,,,,,,,,0,1704350,1690903,,60,0,33.204,0.057,0,0.002,0.037,0,2.186,832.202,551532,0,0,130109,0,0,0,85.859,2.068,1802281
"conwayThread(char*, char*, int, int)",122560258,211355,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4948914,,3145728,,,26252726,,3932160,,131072,,12579446,,0,51.557,,320164,,,,,,,,,,,,,,,,,,,,132875,0,0,0,0,0,0,,131072,,,,,,,,,,0,1703612,1689775,,60,0,33.541,0.057,0,0.002,0.037,0,2.198,831.842,550884,0,0,129809,0,0,0,85.929,2.079,1801063
"conwayThread(char*, char*, int, int)",122989592,211322,64,1,1,1024,1,1,22,0,0,0.964,25044486371,87.346,0,916471014,18532227329,4625265247,980610434,0,4949239,6087,3145728,0,0,26252943,21504,3932160,51896,131072,0,12579929,53371,0,51.439,18749036638,319376,0,752810,124527,0,0,18856387358,0,25066468426,166340,0,0,13224765570,32068505719,125240,166486,123087,6513,0,5,133230,0,0,0,0,0,0,Low (1),131072,Idle,Low (2),Low (1),Low (3),Low (2),0,Mid (4),Low (1),Idle,0,1702380,1689501,0,60,0,33.645,0.058,0,0.002,0.037,0,2.193,831.24,549420,0,0,129768,0,0,0,86.072,2.073,1801027
"conwayThread(char*, char*, int, int)",123381102,211803,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4948225,,3145728,,,26252037,,3932160,,131072,,12578091,,0,51.485,,319121,,,,,,,,,,,,,,,,,,,,132890,0,0,0,0,0,0,,131072,,,,,,,,,,0,1701783,1688153,,60,0,34.014,0.057,0,0.002,0.037,0,2.195,830.949,548922,0,0,129892,0,0,0,86.101,2.076,1799195
"conwayThread(char*, char*, int, int)",123706086,210843,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4948161,,3145728,,,26251807,,3932160,,131072,,12577929,,0,51.379,,318787,,,,,,,,,,,,,,,,,,,,133066,0,0,0,0,0,0,,131072,,,,,,,,,,0,1701227,1688243,,60,0,34.065,0.058,0,0.002,0.038,0,2.19,830.677,548294,0,0,130023,0,0,0,86.191,2.071,1799299
"conwayThread(char*, char*, int, int)",124013343,211291,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4947976,,3145728,,,26251719,,3932160,,131072,,12577737,,0,51.341,,318624,,,,,,,,,,,,,,,,,,,,133190,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700857,1687571,,60,0,34.288,0.057,0,0.002,0.038,0,2.189,830.497,547980,0,0,129998,0,0,0,86.208,2.07,1798399
"conwayThread(char*, char*, int, int)",124346519,210491,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4948106,,3145728,,,26251867,,3932160,,131072,,12578107,,0,51.486,,318570,,,,,,,,,,,,,,,,,,,,133134,0,0,0,0,0,0,,131072,,,,,,,,,,0,1701046,1688220,,60,0,33.907,0.058,0,0.002,0.037,0,2.195,830.589,547900,0,0,129934,0,0,0,86.204,2.075,1799524
"conwayThread(char*, char*, int, int)",124672879,211323,64,1,1,1024,1,1,22,0,0,0.965,,,,,,,,,4947663,,3145728,,,26251458,,3932160,,131072,,12577284,,0,51.263,,318464,,,,,,,,,,,,,,,,,,,,133226,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700667,1687519,,60,0,34.23,0.057,0,0.002,0.037,0,2.185,830.404,547696,0,0,129786,0,0,0,86.224,2.066,1798146
"conwayThread(char*, char*, int, int)",124969096,211195,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4947914,,3145728,,,26251705,,3932160,,131072,,12577877,,0,51.314,,318372,,,,,,,,,,,,,,,,,,,,133318,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700495,1687573,,60,0,34.293,0.058,0,0.002,0.038,0,2.187,830.32,547484,0,0,129819,0,0,0,86.263,2.068,1798420
"conwayThread(char*, char*, int, int)",125264129,210459,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4947712,,3145728,,,26251486,,3932160,,131072,,12577368,,0,51.369,,318237,,,,,,,,,,,,,,,,,,,,133001,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700305,1687110,,60,0,34.265,0.057,0,0.002,0.037,0,2.19,830.227,547250,0,0,129792,0,0,0,86.286,2.071,1797865
"conwayThread(char*, char*, int, int)",125562554,210235,64,1,1,1024,1,1,22,0,0,0.964,,,,,,,,,4947970,,3145728,,,26251671,,3932160,,131072,,12577729,,0,51.43,,317656,,,,,,,,,,,,,,,,,,,,132965,0,0,0,0,0,0,,131072,,,,,,,,,,0,1699311,1686276,,60,0,34.507,0.058,0,0.002,0.037,0,2.192,829.742,546168,0,0,129875,0,0,0,86.373,2.073,1797169
"conwayThread(char*, char*, int, int)",125857331,209947,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4948080,,3145728,,,26251688,,3932160,,131072,,12577754,,0,51.384,,317644,,,,,,,,,,,,,,,,,,,,132935,0,0,0,0,0,0,,131072,,,,,,,,,,0,1699378,1686191,,60,0,34.368,0.057,0,0.002,0.037,0,2.19,829.774,546160,0,0,129636,0,0,0,86.375,2.071,1796647
"conwayThread(char*, char*, int, int)",126151244,210811,64,1,1,1024,1,1,22,0,0,0.962,,,,,,,,,4947938,,3145728,,,26251570,,3932160,,131072,,12577550,,0,51.313,,317991,,,,,,,,,,,,,,,,,,,,133166,0,0,0,0,0,0,,131072,,,,,,,,,,0,1699936,1686608,,60,0,34.293,0.057,0,0.002,0.037,0,2.187,830.047,546818,0,0,129862,0,0,0,86.305,2.069,1797165
"conwayThread(char*, char*, int, int)",126447045,211098,64,1,1,1024,1,1,22,0,0,0.962,,,,,,,,,4948118,,3145728,,,26251671,,3932160,,131072,,12577785,,0,51.467,,318045,,,,,,,,,,,,,,,,,,,,133113,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700148,1686934,,60,0,34.094,0.057,0,0.002,0.037,0,2.194,830.15,546926,0,0,129817,0,0,0,86.296,2.075,1797854
"conwayThread(char*, char*, int, int)",126742813,211227,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4947835,,3145728,,,26251495,,3932160,,131072,,12577303,,0,51.314,,318249,,,,,,,,,,,,,,,,,,,,133207,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700344,1687459,,60,0,34.253,0.058,0,0.002,0.037,0,2.187,830.246,547274,0,0,129896,0,0,0,86.272,2.068,1798224
"conwayThread(char*, char*, int, int)",127038422,210875,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4947972,,3145728,,,26251523,,3932160,,131072,,12577513,,0,51.406,,318106,,,,,,,,,,,,,,,,,,,,133189,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700203,1686858,,60,0,34.139,0.057,0,0.002,0.037,0,2.191,830.177,547036,0,0,129923,0,0,0,86.289,2.073,1797688
"conwayThread(char*, char*, int, int)",127337871,209787,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4946985,,3145728,,,26250592,,3932160,,131072,,12575630,,0,51.386,,318124,,,,,,,,,,,,,,,,,,,,133181,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700108,1687006,,60,0,34.282,0.058,0,0.002,0.038,0,2.191,830.131,547076,0,0,129754,0,0,0,86.298,2.071,1797918
"conwayThread(char*, char*, int, int)",127631336,210587,64,1,1,1024,1,1,22,0,0,0.962,,,,,,,,,4947160,,3145728,,,26250735,,3932160,,131072,,12576047,,0,51.361,,318160,,,,,,,,,,,,,,,,,,,,133273,0,0,0,0,0,0,,131072,,,,,,,,,,0,1700036,1686857,,60,0,34.443,0.057,0,0.002,0.037,0,2.189,830.096,547132,0,0,129832,0,0,0,86.309,2.07,1797350
"conwayThread(char*, char*, int, int)",127926081,210299,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4946521,,3145728,,,26250166,,3932160,,131072,,12574852,,0,51.268,,317575,,,,,,,,,,,,,,,,,,,,133051,0,0,0,0,0,0,,131072,,,,,,,,,,0,1698913,1686280,,60,0,34.824,0.058,0,0.002,0.038,0,2.185,829.547,546034,0,0,129691,0,0,0,86.428,2.066,1796653
"conwayThread(char*, char*, int, int)",128219482,209979,64,1,1,1024,1,1,22,0,0,0.961,,,,,,,,,4945967,,3145728,,,26249679,,3932160,,131072,,12574219,,0,51.412,,316608,,,,,,,,,,,,,,,,,,,,133013,0,0,0,0,0,0,,131072,,,,,,,,,,0,1697376,1684985,,60,0,35.147,0.058,0,0.002,0.038,0,2.191,828.797,544196,0,0,129765,0,0,0,86.555,2.072,1795586
"conwayThread(char*, char*, int, int)",128513203,211387,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4946136,,3145728,,,26249842,,3932160,,131072,,12574602,,0,51.13,,316723,,,,,,,,,,,,,,,,,,,,133056,0,0,0,0,0,0,,131072,,,,,,,,,,0,1697463,1684828,,60,0,35.286,0.057,0,0.002,0.037,0,2.179,828.839,544366,0,0,129775,0,0,0,86.554,2.061,1794869
"conwayThread(char*, char*, int, int)",128807596,210651,64,1,1,1024,1,1,22,0,0,0.961,,,,,,,,,4945816,,3145728,,,26249589,,3932160,,131072,,12574155,,0,51.322,,316544,,,,,,,,,,,,,,,,,,,,133196,0,0,0,0,0,0,,131072,,,,,,,,,,0,1697178,1684783,,60,0,35.335,0.058,0,0.002,0.038,0,2.187,828.7,544028,0,0,129703,0,0,0,86.584,2.068,1794979
"conwayThread(char*, char*, int, int)",129103141,210235,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4946524,,3145728,,,26250268,,3932160,,131072,,12575422,,0,51.357,,316675,,,,,,,,,,,,,,,,,,,,133078,0,0,0,0,0,0,,131072,,,,,,,,,,0,1697505,1684808,,60,0,35.135,0.058,0,0.002,0.038,0,2.189,828.86,544278,0,0,129413,0,0,0,86.553,2.07,1795248
"conwayThread(char*, char*, int, int)",129752117,213883,64,1,1,1024,1,1,22,0,0,0.962,,,,,,,,,4946351,,3145728,,,26250040,,3932160,,131072,,12574936,,0,50.652,,316770,,,,,,,,,,,,,,,,,,,,133199,0,0,0,0,0,0,,131072,,,,,,,,,,0,1697609,1685651,,60,0,35.117,0.058,0,0.002,0.038,0,2.159,828.911,544480,0,0,129494,0,0,0,86.556,2.04,1796234
"conwayThread(char*, char*, int, int)",130076461,214203,64,1,1,1024,1,1,22,0,0,0.963,,,,,,,,,4946423,,3145728,,,26250151,,3932160,,131072,,12575175,,0,51.172,,316977,,,,,,,,,,,,,,,,,,,,133058,0,0,0,0,0,0,,131072,,,,,,,,,,0,1697949,1685168,,60,0,35.135,0.057,0,0.002,0.038,0,2.181,829.077,544866,0,0,129783,0,0,0,86.478,2.062,1795266
