Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Achieved Occupancy,L2 Throughput (L1 Reads)(bytes/sec),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),Global Store Throughput(bytes/sec),Device Memory Write Throughput(bytes/sec),Global Load Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Texture Cache Throughput(bytes/sec),Control-Flow Instructions,Global Store Transactions,Bit-Convert Instructions,System Memory Read Transactions,Shared Store Transactions,Misc Instructions,Global Load Transactions,Load/Store Instructions,Local Store Transactions,FP Instructions(Single),Shared Load Transactions,Integer Instructions,Local Load Transactions,FP Instructions(Double),Issue Slot Utilization(%),L2 Throughput (L1 Writes)(bytes/sec),Issued Control-Flow Instructions,L2 Transactions (Atomic requests),System Memory Write Throughput(bytes/sec),L2 Write Transactions (L1 write requests),System Memory Read Throughput(bytes/sec),L2 Transactions (Texture Reads),L2 Throughput (Writes)(bytes/sec),Atomic Throughput(bytes/sec),L2 Throughput (Reads)(bytes/sec),L2 Read Transactions (L1 read requests),Shared Memory Store Throughput(bytes/sec),Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,System Memory Write Transactions,Issued Load/Store Instructions,Floating Point Operations(Single Precision Add),Floating Point Operations(Single Precision FMA),Floating Point Operation(Single Precision Mul),Floating Point Operations(Double Precision Add),Floating Point Operations(Double Precison FMA),Floating Point Operations(Double Precision Mul),L1/Shared Memory Utilization,Floating Point Operations(Single Precision Special),Texture Cache Utilization,L2 Cache Utilization,System Memory Utilization,Device Memory Utilization,Load/Store Function Unit Utilization,Atomic Transactions,Arithmetic Function Unit Utilization,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,Inter-Thread Instructions,Instructions Executed,Issue Slots,L2 Throughput (Atomic requests)(bytes/sec),Global Memory Load Efficiency(%),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Local Memory Cache Replay Overhead,Global Memory Cache Replay Overhead,Issued IPC,Instructions per warp,Executed Control-Flow Instructions,FLOP Efficiency(Peak Single)(%),FLOP Efficiency(Peak Double)(%),Executed Load/Store Instructions,Floating Point Operations(Single Precision),Floating Point Operations(Double Precision),Atomic Replay Overhead,Branch Efficiency(%),Executed IPC,Instructions Issued
"conwayThread(char*, char*, int, int)",102751998,211867,64,1,1,1024,1,1,22,0,0,0.971,,,,,,,,,4982736,,3145728,,,26286274,,3932160,,131072,,12636688,,0,51.729,,333308,,,,,,,,,,,,,,,,,,,,134874,0,0,0,0,0,0,,131072,,,,,,,,,,0,1728910,1710003,,60,0,26.467,0.056,0,0.002,0.037,0,2.21,844.194,576052,0,0,131432,0,0,0,83.589,2.092,1826359
"conwayThread(char*, char*, int, int)",103048055,212986,64,1,1,1024,1,1,22,0,0,0.97,,,,,,,,,4980943,,3145728,,,26284546,,3932160,,131072,,12633950,,0,51.713,,332807,,,,,,,,,,,,,,,,,,,,134817,0,0,0,0,0,0,,131072,,,,,,,,,,0,1727879,1709260,,60,0,26.761,0.056,0,0.002,0.037,0,2.209,843.691,575066,0,0,131618,0,0,0,83.671,2.091,1825341
"conwayThread(char*, char*, int, int)",103345647,212091,64,1,1,1024,1,1,22,0,0,0.97,,,,,,,,,4979517,,3145728,,,26283359,,3932160,,131072,,12632071,,0,51.747,,332139,,,,,,,,,,,,,,,,,,,,135034,0,0,0,0,0,0,,131072,,,,,,,,,,0,1726854,1708478,,60,0,26.838,0.057,0,0.002,0.037,0,2.21,843.19,573794,0,0,131382,0,0,0,83.768,2.092,1824468
"conwayThread(char*, char*, int, int)",103642120,211355,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4978224,,3145728,,,26281924,,3932160,,131072,,12629404,,0,51.67,,332352,,,,,,,,,,,,,,,,,,,,134724,0,0,0,0,0,0,,131072,,,,,,,,,,0,1727008,1708954,,60,0,26.954,0.057,0,0.002,0.037,0,2.207,843.266,574208,0,0,131583,0,0,0,83.742,2.089,1824935
"conwayThread(char*, char*, int, int)",103936737,211419,64,1,1,1024,1,1,22,0,0,0.971,,,,,,,,,4975738,,3145728,,,26279425,,3932160,,131072,,12624987,,0,51.52,,332183,,,,,,,,,,,,,,,,,,,,134650,0,0,0,0,0,0,,131072,,,,,,,,,,0,1726649,1708667,,60,0,27.051,0.057,0,0.002,0.037,0,2.201,843.09,573862,0,0,131470,0,0,0,83.792,2.082,1824511
"conwayThread(char*, char*, int, int)",104232058,211483,64,1,1,1024,1,1,22,0,0,0.97,,,,,,,,,4975298,,3145728,,,26279085,,3932160,,131072,,12624893,,0,51.799,,331489,,,,,,,,,,,,,,,,,,,,134658,0,0,0,0,0,0,,131072,,,,,,,,,,0,1725355,1707796,,60,0,27.365,0.057,0,0.002,0.037,0,2.212,842.458,572510,0,0,131298,0,0,0,83.89,2.093,1823568
"conwayThread(char*, char*, int, int)",104529491,212027,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4973402,,3145728,,,26277017,,3932160,,131072,,12620801,,0,51.663,,331375,,,,,,,,,,,,,,,,,,,,134793,0,0,0,0,0,0,,131072,,,,,,,,,,0,1725205,1707341,,60,0,27.329,0.057,0,0.002,0.037,0,2.206,842.385,572314,0,0,131293,0,0,0,83.917,2.088,1822853
"conwayThread(char*, char*, int, int)",104825516,212603,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4972474,,3145728,,,26276142,,3932160,,131072,,12619688,,0,51.646,,330955,,,,,,,,,,,,,,,,,,,,134426,0,0,0,0,0,0,,131072,,,,,,,,,,0,1724378,1706723,,60,0,27.534,0.057,0,0.002,0.037,0,2.205,841.981,571510,0,0,131556,0,0,0,83.992,2.087,1821974
"conwayThread(char*, char*, int, int)",105121413,212091,64,1,1,1024,1,1,22,0,0,0.97,,,,,,,,,4971858,,3145728,,,26275374,,3932160,,131072,,12618342,,0,51.653,,330823,,,,,,,,,,,,,,,,,,,,134278,0,0,0,0,0,0,,131072,,,,,,,,,,0,1724030,1706367,,60,0,27.706,0.057,0,0.002,0.037,0,2.206,841.812,571230,0,0,130941,0,0,0,84.013,2.088,1821523
"conwayThread(char*, char*, int, int)",105417406,212955,64,1,1,1024,1,1,22,0,0,0.97,,,,,,,,,4970478,,3145728,,,26274245,,3932160,,131072,,12616391,,0,51.711,,330632,,,,,,,,,,,,,,,,,,,,134424,0,0,0,0,0,0,,131072,,,,,,,,,,0,1723616,1706001,,60,0,27.834,0.056,0,0.002,0.037,0,2.208,841.609,570856,0,0,131116,0,0,0,84.055,2.09,1820918
"conwayThread(char*, char*, int, int)",105723318,211419,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4969354,,3145728,,,26273136,,3932160,,131072,,12614574,,0,51.71,,330180,,,,,,,,,,,,,,,,,,,,134440,0,0,0,0,0,0,,131072,,,,,,,,,,0,1722794,1705662,,60,0,28.028,0.057,0,0.002,0.037,0,2.208,841.208,569992,0,0,131144,0,0,0,84.111,2.089,1820702
"conwayThread(char*, char*, int, int)",106019759,212251,64,1,1,1024,1,1,22,0,0,0.971,,,,,,,,,4968962,,3145728,,,26272761,,3932160,,131072,,12613787,,0,51.608,,330146,,,,,,,,,,,,,,,,,,,,134225,0,0,0,0,0,0,,131072,,,,,,,,,,0,1722671,1705450,,60,0,28.074,0.057,0,0.002,0.037,0,2.204,841.148,569936,0,0,131182,0,0,0,84.132,2.085,1820488
"conwayThread(char*, char*, int, int)",106318120,212795,64,1,1,1024,1,1,22,0,0,0.97,,,,,,,,,4967898,,3145728,,,26271784,,3932160,,131072,,12612174,,0,51.78,,329850,,,,,,,,,,,,,,,,,,,,134260,0,0,0,0,0,0,,131072,,,,,,,,,,0,1722034,1705174,,60,0,28.319,0.057,0,0.002,0.037,0,2.211,840.837,569340,0,0,130994,0,0,0,84.172,2.092,1820245
"conwayThread(char*, char*, int, int)",106634688,210491,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4968287,,3145728,,,26272154,,3932160,,131072,,12612966,,0,51.773,,329517,,,,,,,,,,,,,,,,,,,,134222,0,0,0,0,0,0,,131072,,,,,,,,,,0,1721365,1704655,,60,0,28.488,0.057,0,0.002,0.037,0,2.21,840.51,568714,0,0,131029,0,0,0,84.24,2.091,1819549
"conwayThread(char*, char*, int, int)",106930489,211579,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4966593,,3145728,,,26270296,,3932160,,131072,,12609350,,0,51.62,,329637,,,,,,,,,,,,,,,,,,,,134070,0,0,0,0,0,0,,131072,,,,,,,,,,0,1721521,1704619,,60,0,28.488,0.057,0,0.002,0.037,0,2.204,840.586,568954,0,0,131124,0,0,0,84.224,2.085,1819384
"conwayThread(char*, char*, int, int)",107226994,212315,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4966352,,3145728,,,26270012,,3932160,,131072,,12609158,,0,51.419,,329037,,,,,,,,,,,,,,,,,,,,134453,0,0,0,0,0,0,,131072,,,,,,,,,,0,1720611,1704023,,60,0,28.54,0.057,0,0.002,0.037,0,2.195,840.142,567826,0,0,130998,0,0,0,84.317,2.077,1818381
"conwayThread(char*, char*, int, int)",107524203,212091,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4965763,,3145728,,,26269623,,3932160,,131072,,12608385,,0,51.576,,328573,,,,,,,,,,,,,,,,,,,,134235,0,0,0,0,0,0,,131072,,,,,,,,,,0,1719709,1703104,,60,0,28.792,0.057,0,0.002,0.037,0,2.201,839.702,566926,0,0,130833,0,0,0,84.396,2.083,1817378
"conwayThread(char*, char*, int, int)",107820932,211099,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4965077,,3145728,,,26268888,,3932160,,131072,,12607160,,0,51.434,,328695,,,,,,,,,,,,,,,,,,,,134219,0,0,0,0,0,0,,131072,,,,,,,,,,0,1719845,1703109,,60,0,28.833,0.057,0,0.002,0.037,0,2.195,839.768,567118,0,0,131151,0,0,0,84.399,2.078,1817232
"conwayThread(char*, char*, int, int)",108115933,211835,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4963652,,3145728,,,26267470,,3932160,,131072,,12604644,,0,51.6,,328380,,,,,,,,,,,,,,,,,,,,134477,0,0,0,0,0,0,,131072,,,,,,,,,,0,1719177,1702647,,60,0,29.041,0.057,0,0.002,0.037,0,2.203,839.442,566540,0,0,130927,0,0,0,84.45,2.084,1816962
"conwayThread(char*, char*, int, int)",108412726,211611,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4963494,,3145728,,,26267147,,3932160,,131072,,12604281,,0,51.531,,327761,,,,,,,,,,,,,,,,,,,,134034,0,0,0,0,0,0,,131072,,,,,,,,,,0,1718165,1701770,,60,0,29.178,0.057,0,0.002,0.037,0,2.199,838.948,565370,0,0,130955,0,0,0,84.546,2.081,1815802
"conwayThread(char*, char*, int, int)",108714286,211803,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4963589,,3145728,,,26267345,,3932160,,131072,,12604741,,0,51.678,,327671,,,,,,,,,,,,,,,,,,,,133983,0,0,0,0,0,0,,131072,,,,,,,,,,0,1718103,1702392,,60,0,29.132,0.058,0,0.002,0.037,0,2.206,838.917,565186,0,0,130953,0,0,0,84.552,2.086,1816963
"conwayThread(char*, char*, int, int)",109010983,210651,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4963394,,3145728,,,26267122,,3932160,,131072,,12604194,,0,51.671,,327828,,,,,,,,,,,,,,,,,,,,134071,0,0,0,0,0,0,,131072,,,,,,,,,,0,1718300,1701949,,60,0,29.141,0.057,0,0.002,0.037,0,2.206,839.014,565504,0,0,130692,0,0,0,84.528,2.087,1816167
"conwayThread(char*, char*, int, int)",109305984,211163,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4962870,,3145728,,,26266606,,3932160,,131072,,12603338,,0,50.597,,327697,,,,,,,,,,,,,,,,,,,,133988,0,0,0,0,0,0,,131072,,,,,,,,,,0,1718279,1702388,,60,0,28.963,0.057,0,0.002,0.037,0,2.16,839.003,565286,0,0,130834,0,0,0,84.536,2.043,1816778
"conwayThread(char*, char*, int, int)",109602713,211867,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4963011,,3145728,,,26266857,,3932160,,131072,,12603871,,0,51.501,,327561,,,,,,,,,,,,,,,,,,,,133906,0,0,0,0,0,0,,131072,,,,,,,,,,0,1717851,1701661,,60,0,29.236,0.057,0,0.002,0.037,0,2.198,838.794,564990,0,0,130767,0,0,0,84.558,2.08,1815426
"conwayThread(char*, char*, int, int)",109899122,211259,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4962020,,3145728,,,26266026,,3932160,,131072,,12602434,,0,51.711,,327681,,,,,,,,,,,,,,,,,,,,134083,0,0,0,0,0,0,,131072,,,,,,,,,,0,1717939,1701462,,60,0,29.341,0.057,0,0.002,0.037,0,2.207,838.837,565186,0,0,131120,0,0,0,84.545,2.088,1815168
