==11818== NVPROF is profiling process 11818, command: ./kernel
==11818== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11818== Profiling application: ./kernel
==11818== Profiling result:
==11818== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GT 620 (0)"
	Kernel: conwayThread(char*, char*, int, int)
        100                    issue_slot_utilization                    Issue Slot Utilization      69.71%      70.57%      70.16%
        100                  sysmem_read_transactions           System Memory Read Transactions           0           0           0
        100                 sysmem_write_transactions          System Memory Write Transactions           0           0           0
        100                      l2_read_transactions                      L2 Read Transactions        3088        3136        3097
        100                     l2_write_transactions                     L2 Write Transactions        5811        8103        6660
        100                    tex_cache_transactions                Texture Cache Transactions           0           0           0
        100                    dram_read_transactions           Device Memory Read Transactions        3179        4367        4214
        100                   dram_write_transactions          Device Memory Write Transactions        3684        5000        4166
        100                        l2_read_throughput                     L2 Throughput (Reads)  784.41MB/s  816.13MB/s  800.13MB/s
        100                       l2_write_throughput                    L2 Throughput (Writes)  1.5199GB/s  2.0607GB/s  1.7190GB/s
        100                    sysmem_read_throughput             System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   sysmem_write_throughput            System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                                 cf_issued          Issued Control-Flow Instructions       14264       16291       15099
        100                               cf_executed        Executed Control-Flow Instructions       14264       16291       15099
        100                               ldst_issued            Issued Load/Store Instructions       55021       62044       57321
        100                             ldst_executed          Executed Load/Store Instructions       24955       26576       25679
        100                     l1_shared_utilization              L1/Shared Memory Utilization     Low (2)     Low (2)     Low (2)
        100                            l2_utilization                      L2 Cache Utilization     Low (1)     Low (1)     Low (1)
        100                           tex_utilization                 Texture Cache Utilization    Idle (0)    Idle (0)    Idle (0)
        100                          dram_utilization                 Device Memory Utilization     Low (2)     Low (3)     Low (2)
        100                        sysmem_utilization                 System Memory Utilization    Idle (0)    Idle (0)    Idle (0)
        100                       ldst_fu_utilization      Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
        100                        alu_fu_utilization      Arithmetic Function Unit Utilization     Mid (5)     Mid (5)     Mid (5)
        100                         cf_fu_utilization    Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100                        tex_fu_utilization         Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
        100                               inst_issued                       Instructions Issued      331415      342146      335651
        100                               issue_slots                               Issue Slots      226903      237634      231139
        100                      l2_atomic_throughput           L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
        100                   l2_l1_read_transactions   L2 Read Transactions (L1 read requests)        3056        3072        3071
        100                  l2_l1_write_transactions  L2 Write Transactions (L1 write requests        5811        8103        6660
        100                  l2_tex_read_transactions           L2 Transactions (Texture Reads)           0           0           0
        100                    l2_l1_write_throughput                 L2 Throughput (L1 Writes)  1.5199GB/s  2.0607GB/s  1.7190GB/s
        100                    l2_atomic_transactions         L2 Transactions (Atomic requests)           0           0           0
        100                  eligible_warps_per_cycle           Eligible Warps Per Active Cycle   10.856608   11.094568   10.988661
        100                         atomic_throughput                         Atomic Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                        flop_sp_efficiency              FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
        100                        flop_dp_efficiency              FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
        100                           stall_pipe_busy           Issue Stall Reasons (Pipe Busy)      36.66%      39.88%      38.15%
        100                     stall_memory_throttle     Issue Stall Reasons (Memory Throttle)       0.00%       0.01%       0.00%
