==16828== NVPROF is profiling process 16828, command: ./a.out
==16828== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16828== Profiling application: ./a.out
==16828== Profiling result:
==16828== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GT 620 (0)"
	Kernel: conwayThread(char*, char*, int, int)
        100                  l1_cache_global_hit_rate                        L1 Global Hit Rate      96.43%      96.43%      96.43%
        100                         branch_efficiency                         Branch Efficiency      75.15%      80.14%      77.85%
        100                   l1_cache_local_hit_rate                         L1 Local Hit Rate       0.00%       0.00%       0.00%
        100                             sm_efficiency                   Multiprocessor Activity      92.58%      93.01%      92.79%
        100                        achieved_occupancy                        Achieved Occupancy    0.584777    0.603404    0.596815
        100                  gld_requested_throughput          Requested Global Load Throughput  5.1132GB/s  5.2699GB/s  5.1955GB/s
        100                  gst_requested_throughput         Requested Global Store Throughput  568.13MB/s  585.54MB/s  577.27MB/s
        100                                       ipc                              Executed IPC    1.974721    2.055999    2.034445
        100                    sm_efficiency_instance                   Multiprocessor Activity      92.58%      93.01%      92.79%
        100                              ipc_instance                              Executed IPC    1.974721    2.055999    2.034445
        100                             inst_per_warp                     Instructions per warp  148.136719  150.907227  149.352129
        100                          gld_transactions                  Global Load Transactions       21504       21504       21504
        100                          gst_transactions                 Global Store Transactions        5790        8106        6661
        100                   local_load_transactions                   Local Load Transactions           0           0           0
        100                  local_store_transactions                  Local Store Transactions           0           0           0
        100                  shared_load_transactions                  Shared Load Transactions           0           0           0
        100                 shared_store_transactions                 Shared Store Transactions           0           0           0
        100              gld_transactions_per_request      Global Load Transactions Per Request    1.166667    1.166667    1.166667
        100              gst_transactions_per_request     Global Store Transactions Per Request    0.989374    1.009584    1.000046
        100       local_load_transactions_per_request  Local Memory Load Transactions Per Reque    0.000000    0.000000    0.000000
        100      local_store_transactions_per_request  Local Memory Store Transactions Per Requ    0.000000    0.000000    0.000000
        100      shared_load_transactions_per_request  Shared Memory Load Transactions Per Requ    0.000000    0.000000    0.000000
        100     shared_store_transactions_per_request  Shared Memory Store Transactions Per Req    0.000000    0.000000    0.000000
        100                     local_load_throughput              Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                    local_store_throughput             Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                    shared_load_throughput             Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   shared_store_throughput            Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                         shared_efficiency                  Shared Memory Efficiency       0.00%       0.00%       0.00%
        100                             flop_count_sp  Floating Point Operations(Single Precisi           0           0           0
        100                         flop_count_sp_add  Floating Point Operations(Single Precisi           0           0           0
        100                         flop_count_sp_mul  Floating Point Operation(Single Precisio           0           0           0
