==12241== NVPROF is profiling process 12241, command: ./kernel_coalesced
==12241== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12241== Profiling application: ./kernel_coalesced
==12241== Profiling result:
==12241== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GT 620 (0)"
	Kernel: conwayThread(char*, char*, int, int)
        100                    issue_slot_utilization                    Issue Slot Utilization      72.18%      73.21%      72.83%
        100                  sysmem_read_transactions           System Memory Read Transactions           0           0           0
        100                 sysmem_write_transactions          System Memory Write Transactions           0           0           0
        100                      l2_read_transactions                      L2 Read Transactions        3072        3136        3097
        100                     l2_write_transactions                     L2 Write Transactions        2048        2048        2048
        100                    tex_cache_transactions                Texture Cache Transactions           0           0           0
        100                    dram_read_transactions           Device Memory Read Transactions        3103        4231        4066
        100                   dram_write_transactions          Device Memory Write Transactions        2048        2048        2048
        100                        l2_read_throughput                     L2 Throughput (Reads)  842.05MB/s  860.10MB/s  849.18MB/s
        100                       l2_write_throughput                    L2 Throughput (Writes)  560.63MB/s  562.18MB/s  561.49MB/s
        100                    sysmem_read_throughput             System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   sysmem_write_throughput            System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                                 cf_issued          Issued Control-Flow Instructions        4096        4096        4096
        100                               cf_executed        Executed Control-Flow Instructions        4096        4096        4096
        100                               ldst_issued            Issued Load/Store Instructions       52154       56775       53241
        100                             ldst_executed          Executed Load/Store Instructions       22528       22528       22528
        100                     l1_shared_utilization              L1/Shared Memory Utilization     Low (2)     Low (2)     Low (2)
        100                            l2_utilization                      L2 Cache Utilization     Low (1)     Low (1)     Low (1)
        100                           tex_utilization                 Texture Cache Utilization    Idle (0)    Idle (0)    Idle (0)
        100                          dram_utilization                 Device Memory Utilization     Low (2)     Low (2)     Low (2)
        100                        sysmem_utilization                 System Memory Utilization    Idle (0)    Idle (0)    Idle (0)
        100                       ldst_fu_utilization      Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
        100                        alu_fu_utilization      Arithmetic Function Unit Utilization     Mid (5)     Mid (5)     Mid (5)
        100                         cf_fu_utilization    Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100                        tex_fu_utilization         Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
        100                               inst_issued                       Instructions Issued      322754      324752      323779
        100                               issue_slots                               Issue Slots      220290      222288      221315
        100                      l2_atomic_throughput           L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
        100                   l2_l1_read_transactions   L2 Read Transactions (L1 read requests)        3072        3072        3072
        100                  l2_l1_write_transactions  L2 Write Transactions (L1 write requests        2048        2048        2048
        100                  l2_tex_read_transactions           L2 Transactions (Texture Reads)           0           0           0
        100                    l2_l1_write_throughput                 L2 Throughput (L1 Writes)  560.63MB/s  562.18MB/s  561.49MB/s
        100                    l2_atomic_transactions         L2 Transactions (Atomic requests)           0           0           0
        100                  eligible_warps_per_cycle           Eligible Warps Per Active Cycle   13.111439   13.334212   13.237153
        100                         atomic_throughput                         Atomic Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                        flop_sp_efficiency              FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
        100                        flop_dp_efficiency              FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
        100                           stall_pipe_busy           Issue Stall Reasons (Pipe Busy)      42.52%      45.38%      43.80%
        100                     stall_memory_throttle     Issue Stall Reasons (Memory Throttle)       0.60%       0.64%       0.62%
